Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
< num >,< num >,awm.com,unreliable,< url >,"sometimes power christmas make wild wonderful things . need believe holy trinity believe positive power good others . simple act giving without receiving lost many us days , worries money success hold us back giving others need . one congregation ohio moved action power sermon given church christmas eve . pastor grand lake united methodist church celina , ohio gave emotional sermon importance understanding message jesus . many religious people message jesus help others , make sure people suffering get help need enjoy life little bit . sermon really generosity look like lives . jesus lived long time ago acted generously fashion time – would generous act look like times ? focus sermon . potency sermon lost congregation , moved take action ! sermon ended , congregation decided take offering . bowl passed around room everyone pitched could christmas eve words sermon still ringing ears . offering ? members congregation drove local waffle house visit ladies working night shift . great choice holy days everyone families ! ladies working waffle house clearly families . choice work holy day paid bills . congregation understood sacrifice made ladies , wanted help . donated entire offering split amongst ladies waffle house . total amounted $ < num > , < num > split amongst staff . beautiful moment ! perfect example preacher talking sermon ! good deed like christmas really helped ease burden felt ladies working waffle house . sure , could see families , least got little gift good people community . perhaps best part whole event congregation ask anything return . simple act generosity people understood pain felt another group sought alleviate pain . speaks volumes merits church daily lives . simple act brought entire community together showed empathy compassion special day year .",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,"church congregation brings gift waitresses working christmas eve , crying ( video )",ruth harris,nan,[ `` ],nan,nan,nan
< num >,< num >,beforeitsnews.com,fake,< url >,"awakening < num > strands dna – “ reconnecting ” movie % readers think story fact . add two cents . headline : bitcoin & blockchain searches exceed trump ! blockchain stocks next ! [ january < num > , < num > - zurichtimes.net ] miles johnston giving update , another case strange synchronicities goodness hidden inside tests trials , like follow whiterabbit rabbit hole type exercise . researching < num > strands dna came across articles , one particular strange synchronicity written exactly < num > year ago topic . < url > < url > < num > strands dna war dna ? trailer awakening < num > strands full video available paid video vimeo . awakening < num > strands – “ reconnecting ” vimeo.com/ondemand/awakeningof12strands awakening < num > strands – “ reconnecting ” . sandra daroy vimeo . watched full video , based strange synchronicities present within suggest use discernment always necessary end times . < url >",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,awakening < num > strands dna – “ reconnecting ” movie,zurich times,nan,[ `` ],nan,nan,nan
< num >,< num >,cnnnext.com,unreliable,< url >,"never hike alone : friday 13th fan film usa | < num > | < num > min fan tribute friday 13th , never hike alone follows adventure never hike alone : friday 13th fan film usa | < num > | < num > min fan tribute friday 13th , never hike alone follows adventure blogger , kyle mcleod ( andrew leighty ) , uncovers long lost remains camp crystal lake solo backpacking trip . ignoring campfire tales childhood , kyle 's search turns deadly makes grave mistake crossing path camp blood ’ legendary mass murderer , jason voorhees . stranded forest jason heels , kyle must push survival skills limits hopes survive night . otherwise , 'll wind another lost victim cursed camp . directed vincente disanti screenplay vincente disanti nathan mcleod based characters created sean cunningham victor miller ron kurtz starring : andrew leighty kyle mcleod vincente disanti jason voorhees executive producers barry jay stitch carolyn gair sarah disanti producers kyle klein daniel evans matthew barrett co-producers steven squillante christopher thellas alexander thellas associate producers cody cameron christian ascencio lydia ascencio lynn hobson rene rivas mike whelan directors photography christopher thellas j.d . martz production designer brittany porter special make effects kelsey berk wardrobe stephen boyd-morales stunts jessica bennett bryan forrest jason voorhees donny nichols kyle mcleod film editing lawrence gan sarah disanti unit stills photography ashly covington music ryan perez-daple “ run like hell ” written : vincente disanti , jake gonsalves , lenny machado performed : gonsalves , machado recorded : elm street studios , new bedford , < num > appears courtesy : damn enchiladas “ another soul ” written performed : trevor vaughan appears : finally salao mix tape recorded : colosseum , new bedford , < num > appears courtesy : trevor vaughan & mass glory records additional cast crew visit : www.imdb.com/title/tt5719786/ www.wompstompfilms.com disclaimer production effort womp stomp films , llc volunteer associates . never hike alone product fan fiction way affiliated , representative viacom/paramount film company , warner brothers , new line cinema , horror inc , friday 13th film property , characters . project created fans , fans , show appreciation friday 13th franchise . friday 13th october < num > , project made free available care watch . profit shall made viewing . thank assisted bringing project life . womp stomp films forever grateful time dedication project . thank watching .",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,never hike alone - friday 13th fan film ( full movie ),nan,nan,[ `` ],"never hike alone : friday 13th fan film usa | < num > | < num > mina fan tribute friday 13th , never hike alone follows adventure blogger , kyle mcleod",nan,nan
< num >,< num >,awm.com,unreliable,< url >,"rare shark caught , scientists left blundering answers . shark unique feature . ’ survive extreme depths live extended period time . shark ’ unique trait extend jaw telescoping fashion beyond mouth . ’ ever seen hit science fiction movie “ alien , ” shark monster made manifest earth . shark stalks prey lashes telescoping teeth snatch large fish swallow one bite . ’ deadly predator deep sea . besides telescoping teeth , shark glow dark recently discovered back < num > . three decades since first found , select exotic shark species found . routine survey donghe township taiwan , country ’ fisheries research institute found five horrifying deep-sea sharks . team notably horrified described “ obvious feature needle-shaped teeth , like snake-like fangs . also origin viper shark name. ” ’ right . beast called viper shark . tell name , ferocious prey . although researchers gotten hands animals , little known . researchers think creatures swim < num > - < num > meters surface ocean day < num > meters night . could temperature changes something light ? last five specimens trawled depth < num > meters surface sea . four already dead . living specimen immediately immersed cool seawater . could handle sudden change habitat . perished day later . viper sharks look like alien monster movie , feed humans . main food sources crustaceans bony fishes . one favorite lunch items lanternfish . creatures might attracted toward shark glow-in-the-dark bodies . swim close enough , shark lashes extendable jaw snatches fish devours whole . first specimens viper shark found coast shikoku island japan < num > . bottom-trawler vessel seiryo-maru first haul creatures surface sea . fish new discovery time , ’ scientific name honors seiryo-maru captain , hiromichi kabeya . shark ’ scientific name trigonognathus kabeyai . although much fish known , scientists classify dogfish shark . found deep parts pacific ocean . would react shark came end fishing line ? would think nightmare ?",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,elusive ‘ alien sea ‘ caught scientist one first times ever ( video ),alexander smith,nan,[ `` ],nan,nan,nan
< num >,< num >,bipartisanreport.com,clickbait,< url >,"donald trump unnerving ability ability create reality convince millions americans says true . problem president lying believes lies . new poll shows get country deep trouble . new abc news/washington post poll came president ’ physician gave physical mental exam . doctor gave trump clean bill health , added inch height , claimed fit serve seven years . poll able capture americans ’ opinions new book came indicating people around trump questioned emotional stability ability hold office . addition , new poll gave respondents time hear trump tell public “ stable genius ” interviewed . said : ‘ actually , throughout life , two greatest assets mental stability , like , really smart. ’ abc/washington post poll discovered < num > percent people interviewed believed president genius . left full < num > percent saw lie . , question trump ’ mental stability . poll found nearly even divide throughout nation . asked president stable , < num > percent interviewed said , < num > percent believed stable . abc news/washington post poll taken january < num > < num > , < num > . random sample consisted < num > , < num > adults interviewed landline cell phone english spanish . margin error +/- < num > percentage points . featured image via getty images/drew angerer",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,trump ’ genius poll complete & results americans bursting laughter,gloria christie,nan,[ `` ],nan,nan,nan
< num >,< num >,blackagendareport.com,unreliable,< url >,“ republicans democrats alike willing turn government coffers bezos ilk rights people damned . ”,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,black agenda report,"margaret kimberley , bar editor , senior columnist , glen ford , bar executive editor , nellie bailey , kyle fraser , black agenda radio producer , nellie bailiey",nan,[ `` ],nan,nan,nan
< num >,< num >,awarenessact.com,conspiracy,< url >,could imagine waking morgue ? one would traumatized life ! < num > -year-old prisoner name gonzalo montoya jimenez found unresponsive cell morning ro…,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,waking morgue – awareness act,gerald sinclair,nan,[ `` ],nan,nan,nan
< num >,< num >,beforeitsnews.com,fake,< url >,"citizen journalist n.morgan q released several new posts last < num > hours , hitting bulls eye . according q , explosive info releases could start second american revolution . q begin releasing information elite 's involvement child sex abuse",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,citizen journalist,nan,nan,[ `` ],nan,nan,nan
< num >,< num >,beforeitsnews.com,fake,< url >,"usa dollar tanks mnuchin statement wants lower dollar value headline : bitcoin & blockchain searches exceed trump ! blockchain stocks next ! harvey organ , harvey organ blog : usa index breaks < num > ends < num > /usa < num > yr bond note < num > % /gold rises $ < num > $ < num > /silver rises < num > cents $ < num > breaks huge $ < num > resistance/monstrous issue gold efps : < num > , < num > /huge silver efp issuance < num > contracts/huge < num > tonnes gold added gld/nothing added slv/huge number swamp stories tonight gold : $ < num > $ < num > silver : $ < num > < num > cents closing access prices : gold $ < num > silver : $ < num > shanghai gold fix : first fix < num > < num > pm est ( < num > : < num > shanghai local time ) second fix : < num > : < num > est ( < num > : < num > shanghai local time ) shanghai first gold fix : $ < num > dollars per oz ny price gold exact time : $ < num > premium first fix : $ < num > xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx second shanghai gold fix : $ < num > ny gold price exact time : $ < num > premium shanghai 2nd fix/ny : $ < num > shanghai rejects ny /london pricing gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx london first gold fix : < num > : < num > est $ < num > ny pricing exact time : $ < num > london second gold fix < num > : $ < num > ny pricing exact time . $ < num > comex gold : january/ number notices filed today january contract : < num > notice ( ) < num > oz . total notices far : < num > < num > oz ( < num > tonnes ) , silver : january < num > notice ( ) filed today for50 , < num > oz/ total number notices filed far month : < num > < num > , < num > , < num > oz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bitcoin : bid $ < num > , < num > /offer $ < num > , < num > $ < num > ( morning ) bitcoin : bid $ < num > , < num > /offer $ < num > , < num > $ < num > ( closing/ < num > pm ) end let us look data today xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx silver , total open interest fell tiny < num > contracts < num > , < num > falling < num > , < num > yesterday ’ < num > cent loss silver pricing . thus minimal comex liquidation . however , notified another huge sized number comex longs transferring contracts london efp route : < num > efp ’ march zero months thus total issuance < num > contracts . however movement across london severe gold seems major players willing take banks comex . still , transfer < num > contracts , cme stating silver ( gold ) delivered upon comex must export obligation london . also keep mind delay < num > hrs issuing efp ’ . accumulation efp ’ s/silver/ starting first day notice/for month january : < num > , < num > contracts ( < num > trading days total < num > , < num > contracts < num > million oz : average per day : < num > contracts < num > million oz/day ) give idea huge supply month silver : far month : < num > million paper oz morphed london . represents around < num > % annual global production result : tiny sized loss oi comex despite < num > cent loss silver price usually indicates another failed banker short-covering . also huge sized efp issuance < num > contracts exited silver comex transferred oi london forwards . speculators continued interest attacking silver comex physical silver . cme data < num > efp ’ issued today deliverable forward contract london fiat bonus . really gained < num > oi contracts i.e . < num > open interest contracts headed london ( efp ’ ) together decrease < num > oi comex contracts . happened fall price silver < num > cents closing price $ < num > respect yesterday ’ trading . yet still good amount silver standing comex . ounces comex , oi still represented < num > billion oz i.e . < num > billion exact < num > % annual global silver production ( ex russia & ex china ) . new front january month/ filed : < num > notice ( ) < num > , < num > oz silver gold , open interest surprisingly rose considerable < num > contracts to582 , < num > good sized rise price gold yesterday ’ trading ( $ < num > ) . another huge development , received total number gold efp ’ issued wednesday totaled humongous sized < num > , < num > contracts february saw < num > , < num > contracts issued april saw issuance < num > contracts . new oi gold complex rests < num > , < num > . also remember delay issuance efp ’ . bankers remove long positions comex gold immediately . orchestrate private efp deal longs could take additional < num > hrs generally get match respect departing comex longs new efp long transfers . demand gold intensifies greatly continue witness huge number efp transfers together massive increase gold comex oi together total amount gold ounces standing january comex . even though bankers issued monstrous efps , obligation still rests bankers supply metal transfers risk london banker obligation new york comex obligation . longs receive fiat bonus together long london forward . thus , actions , bankers comex stated appreciable metal ! ! massive fraud : supply metal comex longs quite willing supply massive non backed gold ( silver ) paper knowing metal satisfy longs . london severely backward gold silver ( big rise gofo sifo ) witnessing delays actual deliveries . essence today huge gain < num > , < num > contracts : < num > oi contracts increased comex good sized < num > , < num > oi contracts navigated london . expect huge numbers efp ’ issued approach first day notice gold feb comex contract , wednesday jan < num > yesterday , < num > , < num > efp ’ issued . accumulation efp ’ s/ gold ( exchange physical ) month january starting first day notice : < num > , < num > contracts < num > million oz < num > tonnes ( < num > trading days thus averaging : < num > efp contracts per trading day < num > , < num > oz/day ) give idea huge size efp transfers : far month < num > trading days : tonnes : < num > tonnes total annual gold production , < num > , throughout world ex china ex russia : < num > tonnes thus efp transfers represents < num > / < num > tonnes = < num > % global annual production far january alone . result : shockingly strong sized increase oi comex fair sized rise price gold trading yesterday ( $ < num > ) . another gigantic sized number comex long transferring london efp route : < num > , < num > . obviously seem much physical gold comex yet also observed huge delivery month month december . guess explains huge issuance efp ’ s…there hardly gold present gold comex delivery purposes . take account < num > , < num > efp contracts issued , net gain open interest < num > , < num > contracts two exchanges : < num > , < num > contracts move london < num > , < num > contracts increased comex . ( tonnes , gain total oi equates < num > tonnes ) . : < num > notice ( ) filed upon < num > oz gold . xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx respect two criminal funds , gld slv : gld gold $ < num > , huge change gold inventory gld/a deposit < num > tonnes inventory rests tonight : < num > tonnes . slv/ big changes silver inventory slv/a huge withdrawal < num > million oz slv inventory/ inventory rests < num > million oz/ end first , outline discussed tonight : < num > . today , open interest silver fell tiny < num > contracts < num > , < num > < num > , < num > ( little new comex record set friday/april < num > / < num > < num > , < num > ) fall price silver tune < num > cents respect yesterday ’ trading . bankers used emergency procedure issue another good < num > private efp ’ march ( get look contracts private cftc audit ) < num > efp ’ months . efp ’ give comex longs fiat bonus plus deliverable product london . zero comex silver comex liquidation . take oi loss comex < num > contractsto < num > oi transferred london efp ’ obtain big gain < num > open interest contracts . still good amount silver ounces standing metal january ( see ) . net gain today oz two exchanges : < num > million oz ! ! ! result : small sized decrease silver oi comex despite tiny fall < num > cents price ( respect yesterday ’ trading ) . also another strong < num > efp ’ issued transferring comex longs london . together good sized amount silver ounces standing january , demand physical silver intensifies witness major bank short covering accompanied increases gofo sifo rates indicating scarcity . ( report harvey ) . < num > .a ) shanghai london gold fix report ( harvey ) < num > b ) gold/silver trading overnight europe , goldcore ( mark ’ byrne/zerohedge ny : bloomberg < num > . asian affairs ) late tuesday night/wednesday morning : shanghai closed < num > points < num > % /hang sang closed < num > pts < num > % / nikkei closed < num > points < num > % /australia ’ ordinaires closed < num > % /chinese yuan ( onshore ) closed well < num > /oil < num > dollars per barrel wti < num > brent . stocks europe opened red . onshore yuan closed dollar < num > . offshore yuan closed onshore yuan < num > //onshore yuan much stronger dollar/off shore much stronger dollar/ . dollar ( index ) much weaker major currencies . china happy today . ( good markets/weaker usa dollar ) read @ harveyorganblog.com source : < url >",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,usa dollar tanks mnuchin statement wants lower dollar value,nan,nan,[ `` ],nan,nan,nan
< num >,< num >,canadafreepress.com,conspiracy,< url >,"subscribe canada free press free neither rev . rodriguez pope francis , president trump , addressing crowd satellite ’ really president trump needs mouth washed soap throwing spotlight so-called men cloth : ’ president donald trump needs mouth washed soap allegedly made use vulgar ‘ ’ word white house meeting immigration . ’ getting around words painful cuss words , particularly heap praise abortion advocates . “ members president trump ’ evangelical advisory council decided jump ship day publicly sided nancy pelosi daca . ( redstate , jan. < num > , < num > ) “ always taken lead . commitment immigrant community ‘ dreamers ’ second none . america better place prophetic leadership matter , ” rev.samuel rodriguez , spoke trump ’ inauguration last year , told pelosi press conference thursday. ” prophetic ? really ? ” pelosi , course , one loudest advocates abortion ever elected , coming second former president barack obama , champion partial birth abortion . sincere rev . rodriguez raised name president donald trump prayer inauguration ? discomfited president ’ use expression denied using , rev . rodriguez , member “ unofficial ” evangelical advisory board president national hispanic christian leadership conference noted “ every single person created image god ” spoke welcoming people equally nigeria norway , albeit “ rigorous vetting process. ” “ later day , said : “ addition , great due deference , believe comments attributed president best described wrong , inappropriate , hurtful . ? god looks nations , sees children. ” ( yahoo , jan. < num > , < num > ) go without saying creator sees among “ children , millions babies killed mother ’ wombs . sadly , pastor one hypocritically regards president ’ alleged use ‘ ’ word preach-worthy open advocation abortion . ’ tad hypocritical , downright sanctimonious vatican newspaper , l ’ osservatore romano would try wash-his-mouth-with-soap stance latest alleged expletive president donald trump ? know president trump ’ alleged use ‘ ’ word tattle-taled internet world catholic u.s. senator dick durbin , went straight media report vulgarity “ repeatedly ” used white house meeting immigration . tattletale dicky durbin continued ... newspaper , l ’ osservatore romano—the vatican ’ flagship—gave trump ’ comments immigration debate united states , front page attention , noting comments immediately sparked “ controversy indignation ” . never mind trump denies using term . mercifully , newspaper print vulgar word automatically spiralled democrats full-on faux rage . , none . ’ vulgar expletives rile people . words indiscriminately used honor abortion advocates as—if more—offensive faithful . pro-life catholics must thought ‘ ’ word reading twitter abortion advocate lilianne ploumen , former minister foreign trade development cooperation netherlands , recently honored pope francis title ‘ commander pontifical equestrian order st. gregory great ’ . one tweet turned troubling true : “ lepanto institute able confirm december < num > , < num > dutch radio broadcast ploumen indeed received honor . brief video clip promoting broadcast , ploumen displays medal saying received pope . ( lepanto institute , jan. < num > , < num > ) “ say lilianne ploumen “ pro-abortion ” extreme understatement ’ even come close scandalous reality activism . “ january last year , us president donald trump reinstated mexico city policy , ploumen launched new ngo called decides provide mass amounts funds organizations would longer receive funds us government . mexico city policy automatically denies us funding international organizations perform promote abortion . “ referring mexico city policy “ global gag rule , ” ploumen stated intention decides continue support existing programs run organizations united nations population fund ( unpfa ) , international planned parenthood federation marie stopes international . said , “ successful effective programs : direct support , distributing condoms , making sure women accompanied birth , making sure abortion safe choice. ” lepanto institute continues ploumen profile : “ ploumen ’ anti-catholic activity ’ restricted abortion . september < num > , ploumen participated united nations lgbti core group . first speaker event , ploumen noted “ lgbti rights human rights. ” opening remarks , said , “ complacent . [ today ] < num > countries homosexuality still criminalized…stigma lgbt people continue world. ” “ < num > , ploumen ended foreign aid country uganda passing bill banning sodomy same-sex “ marriage. ” february < num > , ploumen called lgbt activists descend upon disrupt mass st. john baptist cathedral , wearing pink triangles words “ jesus excludes one. ” “ reason ? pro-lgbt activists protesting church ’ moral teaching regarding homosexuality. ” continued ... already know pope francis profiles president donald trump : “ < num > , response question then-candidate trump ’ views immigration intention build wall along u.s. border mexico , francis said man views “ christian ” . ( reuters , jan. < num > , < num > ) “ trump , grew presbyterian family , shot back saying “ disgraceful ” pope question faith. ” actions speak much louder cuss words . thousands taking part < num > march life today . neither rev . rodriguez pope francis , president trump , addressing crowd satellite . copyright © canada free press rss feed judi mcleod judi mcleod award-winning journalist < num > years ’ experience print media . former toronto sun columnist , also worked kingston whig standard . work appeared rush limbaugh , newsmax.com , drudge report , foxnews.com . older articles judi mcleod please adhere commenting policy avoid banned . privately owned website , reserve right remove comment ban user time.comments contain spam , advertising , vulgarity , threats violence , racism , anti-semitism , personal abusive attacks users may removed result ban. -- follow instructions registering",< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,< date > < num > : < num > : < num >,’ really president trump needs mouth washed soap,"judi mcleod , without america , free world .",nan,[ `` ],nan,nan,nan
